epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.875,1.38306,4.35895,1.48015,0.43853,0.10992,0.06227,0.04477,0.9921,3.913,1.26071,9.76632e-05,9.76632e-05,9.76632e-05
2,422.556,1.35525,3.70144,1.41909,0.41104,0.22779,0.13911,0.10077,1.08462,3.45917,1.35348,0.000189206,0.000189206,0.000189206
3,622.826,1.3772,3.3676,1.43846,0.26667,0.33682,0.21903,0.16478,1.06409,3.07185,1.35401,0.000274281,0.000274281,0.000274281
4,805.316,1.37436,3.09176,1.44307,0.37607,0.30564,0.28067,0.21624,1.02493,2.90286,1.36217,0.000264894,0.000264894,0.000264894
5,988.237,1.34665,2.95275,1.42868,0.36145,0.40753,0.30335,0.22553,1.04991,2.7578,1.36711,0.000255192,0.000255192,0.000255192
6,1170.98,1.31892,2.79311,1.40088,0.3379,0.37424,0.33885,0.26566,0.99546,2.53396,1.31243,0.00024549,0.00024549,0.00024549
7,1353.88,1.29617,2.67667,1.39562,0.39672,0.31334,0.29468,0.22905,1.01255,2.60042,1.30579,0.000235788,0.000235788,0.000235788
8,1536.93,1.28467,2.63833,1.38996,0.30327,0.41345,0.34258,0.26518,0.99099,2.44991,1.29369,0.000226086,0.000226086,0.000226086
9,1719.14,1.28458,2.53035,1.38392,0.30732,0.43637,0.39585,0.30793,0.96723,2.32338,1.28163,0.000216384,0.000216384,0.000216384
10,1903.64,1.28125,2.48921,1.37899,0.30669,0.5137,0.41082,0.31478,0.99769,2.3068,1.28584,0.000206682,0.000206682,0.000206682
11,2575.8,1.24971,2.4321,1.35957,0.31772,0.50899,0.42971,0.32566,0.99829,2.21006,1.31068,0.00019698,0.00019698,0.00019698
12,3066.53,1.2508,2.38752,1.35948,0.31106,0.46362,0.41793,0.32755,0.9794,2.21178,1.27417,0.000187278,0.000187278,0.000187278
13,3684.2,1.26106,2.35935,1.34916,0.32003,0.52236,0.46301,0.34957,0.99355,2.2262,1.29272,0.000177576,0.000177576,0.000177576
